,HHID,C80
0,03160500103010,13
1,03160500103036,13
2,03160500103114,13
3,03160500103127,13
4,03161500214128,13
5,04280201505001,13
6,04310302803002,1
7,04310302803002,2
8,04310302803002,9
9,04310302803002,10
10,04310302803002,12
11,04380301901003,3
12,04380301901003,5
13,04380801605004,13
14,05410700901007,13
15,05410700901021,13
16,05410700901035,13
17,05410700901049,13
18,05410700901063,13
19,05410700901147,13
20,05410700901161,13
21,14720100512004,1
22,14720100512004,2
23,14720100512004,3
24,14720100512004,4
25,14720100512004,5
26,14720100512004,6
27,14720100512004,7
28,14720100512004,8
29,14720100512004,9
30,14720100512004,10
31,14720100512004,11
32,14720100512004,12
33,14720100512004,13
34,14740301003174,12
35,14770600201008,5
36,14770600201008,6
37,14770600201008,7
38,14770600201008,8
39,14770600201008,9
40,14770600201008,10
41,14770600201008,11
